Accrington Stanley	Crown Ground	League One
AFC Bournemouth	Dean Court	Premier League
AFC Wimbledon	Plough Lane	League Two
Arsenal	Emirates Stadium	Premier League
Aston Villa	Villa Park	Premier League
Barnsley	Oakwell	League One
Barrow	Holker Street	League Two
Birmingham City	St Andrews	Championship
Blackburn Rovers	Ewood Park	Championship
Blackpool	Bloomfield Road	Championship
Bolton Wanderers	University of Bolton Stadium	League One
Bradford City	Valley Parade	League Two
Brentford	Brentford Community Stadium	Premier League
Brighton & Hove Albion	Falmer Stadium	Premier League
Bristol City	Ashton Gate	Championship
Bristol Rovers	Memorial Stadium	League One
Burnley	Turf Moor	Championship
Burton Albion	Pirelli Stadium	League One
Cambridge United	Abbey Stadium	League One
Cardiff City	Cardiff City Stadium	Championship
Carlisle United	Brunton Park	League Two
Charlton Athletic	The Valley	League One
Chelsea	Stamford Bridge	Premier League
Cheltenham Town	Whaddon Road	League One
Colchester United	Community Stadium	League Two
Coventry City	City of Coventry Stadium	Championship
Crawley Town	Broadfield Stadium	League Two
Crewe Alexandra	Gresty Road	League Two
Crystal Palace	Selhurst Park	Premier League
Derby County	Pride Park	League One
Doncaster Rovers	Keepmoat Stadium	League Two
Everton	Goodison Park	Premier League
Exeter City	St James Park (Exeter)	League One
Fleetwood Town	Highbury Stadium (Fleetwood)	League One
Forest Green Rovers	New Lawn	League One
Fulham	Craven Cottage	Premier League
Gillingham	Priestfield Stadium	League Two
Grimsby Town	Blundell Park	League Two
Harrogate Town	Wetherby Road	League Two
Hartlepool United	Victoria Park	League Two
Huddersfield Town	The John Smiths Stadium	Championship
Hull City	KC Stadium	Championship
Ipswich Town	Portman Road	League One
Leeds United	Elland Road	Premier League
Leicester City	King Power Stadium	Premier League
Leyton Orient	Brisbane Road	League Two
Lincoln City	Sincil Bank	League One
Liverpool	Anfield	Premier League
Luton Town	Kenilworth Road	Championship
Manchester City	City of Manchester Stadium	Premier League
Manchester United	Old Trafford	Premier League
Mansfield Town	Field Mill	League Two
Middlesbrough	Riverside Stadium	Championship
Millwall	The Den	Championship
MK Dons	Stadium MK	League One
Morecambe	Globe Arena	League One
Newcastle United	St James Park	Premier League
Newport County	Rodney Parade	League Two
Northampton Town	Sixfields Stadium	League Two
Norwich City	Carrow Road	Championship
Nottingham Forest	City Ground	Premier League
Oxford United	Kassam Stadium	League One
Peterborough United	London Road	League One
Plymouth Argyle	Home Park	League One
Port Vale	Vale Park	League One
Portsmouth	Fratton Park	League One
Preston North End	Deepdale	Championship
Queens Park Rangers	Kiyan Prince Foundation Stadium	Championship
Reading	Madejski Stadium	Championship
Rochdale	Spotland	League Two
Rotherham United	New York Stadium	Championship
Salford City	Moor Lane	League Two
Sheffield United	Bramall Lane	Championship
Sheffield Wednesday	Hillsborough	League One
Shrewsbury Town	New Meadow	League One
Southampton	St Marys Stadium	Premier League
Stevenage	Broadhall Way	League Two
Stockport County	Edgeley Park	League Two
Stoke City	Stoke Stadium	Championship
Sunderland	Stadium of Light	Championship
Sutton United	Gander Green Lane	League Two
Swansea City	Liberty Stadium	Championship
Swindon Town	County Ground	League Two
Tottenham Hotspur	Tottenham Hotspur Stadium	Premier League
Tranmere Rovers	Prenton Park	League Two
Walsall	Bescot Stadium	League Two
Watford	Vicarage Road	Championship
West Bromwich Albion	The Hawthorns	Championship
West Ham United	London Stadium	Premier League
Wigan Athletic	DW Stadium	Championship
Wolverhampton Wanderers	Molineux	Premier League
Wycombe Wanderers	Adams Park	League One